#{"t_start": 1765351638.8422217, "env_id": "None"}
r,l,t
-19.0,2013,1812.72117
-16.0,2187,1818.55579
-15.0,2098,1824.198197
-14.0,2246,1830.261662
-14.0,2038,1835.784571
-16.0,1881,1841.968667
-15.0,1827,1846.889437
-12.0,2481,1853.607367
-20.0,2304,1859.799485
-6.0,3843,1871.078869
-14.0,2573,1877.991815
-14.0,2410,1884.491009
-14.0,2720,1891.739166
-16.0,2105,1898.231565
-17.0,2086,1903.792705
-13.0,2259,1909.888758
-17.0,1795,1914.779346
-16.0,2007,1920.217485
-15.0,2230,1926.223606
-15.0,2215,1932.320159
-9.0,2830,1940.196438
-18.0,1768,1945.112126
-8.0,2742,1953.572687
-16.0,2483,1960.509012
-21.0,1707,1965.217427
-19.0,2391,1972.366549
-14.0,2222,1979.043983
-15.0,2342,1986.126644
-19.0,2030,1992.099494
-17.0,1781,1997.305867
-13.0,2333,2004.205023
-18.0,1556,2008.977589
-14.0,2297,2015.646825
-16.0,2057,2021.912044
-20.0,1863,2027.439291
-17.0,1951,2032.975472
-13.0,2240,2039.331258
-15.0,2292,2045.816616
-11.0,2371,2052.549184
-20.0,2016,2058.021877
-17.0,1859,2063.018159
-13.0,2585,2069.878394
-20.0,2016,2075.272659
-13.0,2402,2081.772868
-17.0,1824,2086.775225
-17.0,2577,2093.79484
-15.0,2113,2099.458667
-17.0,1464,2103.463847
-17.0,1671,2107.965932
-14.0,2173,2113.801365
-12.0,2231,2119.758685
-17.0,1520,2123.88093
-11.0,2396,2130.277759
-10.0,2281,2136.408265
-18.0,1832,2141.272265
-16.0,2238,2147.308665
-19.0,1568,2151.477659
-15.0,2574,2158.327518
-11.0,2390,2164.69458
-12.0,2982,2172.692792
-11.0,2476,2179.31061
-12.0,2272,2185.371881
-14.0,2092,2190.971501
-13.0,2414,2197.535876
-12.0,2373,2204.087176
-18.0,1772,2209.201675
-5.0,3019,2217.48527
-12.0,2425,2224.22732
-17.0,1967,2230.580699
-17.0,2113,2236.537067
-7.0,2605,2243.610761
-17.0,2030,2249.174788
-15.0,2009,2254.661916
-12.0,2580,2261.656659
-16.0,2186,2267.570682
-16.0,2521,2274.42449
-17.0,2365,2280.816892
-17.0,1724,2285.495632
-14.0,1913,2290.644925
-13.0,2605,2297.700419
-14.0,2442,2304.333985
-11.0,2537,2311.243994
-17.0,2108,2316.91688
-11.0,2562,2323.911439
-12.0,2826,2332.586595
-9.0,2437,2341.440121
-13.0,2416,2348.920793
-13.0,2455,2356.78514
-17.0,2337,2363.652945
-14.0,2339,2371.701776
-14.0,2182,2378.161649
-11.0,2493,2385.530851
-12.0,2814,2393.762625
-19.0,2031,2399.712829
